Quand vais-je recevoir mon colis ? ||| expédition
Est-ce que je peux choisir une livraison express ? ||| expédition
Mon colis est bloqué au centre de tri ||| expédition
J'ai reçu un colis que je n'ai pas commandé ||| expédition
Comment changer l'horaire de livraison ? ||| expédition
Le livreur m'a dit qu'il repassera demain ||| expédition
Puis-je faire livrer à une autre adresse ? ||| expédition
Mon suivi indique livré mais je n'ai rien ||| expédition
Le colis a été retourné à l'expéditeur ||| expédition
Je n'ai reçu qu'une partie de ma commande ||| expédition
Où est mon colis Amazon ? ||| expédition
Le point relais est fermé, que faire ? ||| expédition
Le livreur a laissé le colis chez le voisin sans prévenir ||| expédition
Je veux ajouter des instructions de livraison ||| expédition
Pourquoi la livraison prend autant de temps ? ||| expédition
Peut-on reprogrammer la livraison ? ||| expédition
Colis perdu, comment faire un remboursement ? ||| expédition
Mon colis est en douane ||| expédition
Est-ce possible de faire une livraison le week-end ? ||| expédition
Je veux refuser le colis à la livraison ||| expédition
Je ne comprends pas le montant total ||| facturation
Pourquoi ai-je été débité deux fois ? ||| facturation
Je veux une facture à mon nom ||| facturation
J’ai besoin d’une facture pour ma comptabilité ||| facturation
Les frais de port sont trop élevés ||| facturation
Je n’ai pas reçu ma facture par email ||| facturation
Comment modifier ma carte de paiement ? ||| facturation
Est-ce que je peux payer par virement bancaire ? ||| facturation
Puis-je modifier la devise de facturation ? ||| facturation
Pourquoi ai-je un prélèvement automatique ? ||| facturation
Je veux un reçu PDF ||| facturation
Le montant est différent entre le panier et la facture ||| facturation
Comment obtenir une facture avec TVA ? ||| facturation
Je veux changer l'adresse de facturation ||| facturation
Pourquoi mon paiement a échoué ? ||| facturation
Le site affiche un prix différent du montant facturé ||| facturation
Je souhaite annuler la facture ||| facturation
On m’a facturé un produit que je n’ai pas reçu ||| facturation
Je souhaite être remboursé ||| facturation
Ma réduction n’a pas été appliquée ||| facturation
Je n'arrive pas à me connecter à mon compte ||| assistance
L'application se bloque au démarrage ||| assistance
Je veux désactiver les notifications ||| assistance
Mon historique d'achat a disparu ||| assistance
Je ne peux pas changer mon mot de passe ||| assistance
Le bouton d’aide ne fonctionne pas ||| assistance
Je n'arrive pas à télécharger la facture ||| assistance
L'application affiche un message d'erreur ||| assistance
Impossible d'accéder au service client ||| assistance
Je ne reçois pas l'email de confirmation ||| assistance
Comment contacter un conseiller ? ||| assistance
L’application est en anglais, je veux en français ||| assistance
Mon compte a été désactivé sans raison ||| assistance
Comment supprimer mes données personnelles ? ||| assistance
Je ne vois pas mes commandes passées ||| assistance
Le code de vérification ne fonctionne pas ||| assistance
Je veux signaler un bug ||| assistance
Comment activer les notifications push ? ||| assistance
J’ai un souci technique avec l’app ||| assistance
Le système m’empêche de passer une commande ||| assistance
Quel est le sens de la vie ? ||| autre
Raconte-moi une blague ||| autre
Quel temps fait-il à Paris ? ||| autre
Peux-tu m’aider à faire mes devoirs ? ||| autre
Tu connais la recette du tiramisu ? ||| autre
Est-ce que tu aimes les chats ? ||| autre
Quel est le meilleur film de 2024 ? ||| autre
Je veux discuter avec quelqu’un ||| autre
Comment aller sur la lune ? ||| autre
Tu joues à des jeux vidéo ? ||| autre
Qui est le président actuel ? ||| autre
Parle-moi de la révolution française ||| autre
Peux-tu me dire l'heure ? ||| autre
Lis-moi un poème ||| autre
J’aimerais voyager à Bali ||| autre
Quel est ton plat préféré ? ||| autre
Fais-moi une prédiction ||| autre
Est-ce que tu rêves ? ||| autre
Tu es humain ? ||| autre
Je suis fatigué aujourd’hui ||| autre
